Lines of code
=============
Generated: 2026-09-09 15:00 UTC by clocwork 0.9.0
Counted with: cloc 2.10
Projects: 17   Files: 4 253   Code: 600 340

By project
==========

+----------------+-------+---------+---------+--------+--------+
| Project        | Files |    Code | Comment |  Blank |  Share |
+----------------+-------+---------+---------+--------+--------+
| UNDISCLOSED    |   976 | 151 593 |  10 838 | 23 170 |  25.3% |
| DUD            |   233 |  89 337 |   3 524 |  5 890 |  14.9% |
| RetroFlops     | 1 521 |  86 758 |   5 594 |  5 696 |  14.5% |
| Magic Link SSO |   458 |  69 193 |   6 718 | 11 368 |  11.5% |
| gLifestream    |   205 |  33 161 |   2 106 |  4 456 |   5.5% |
| Time Tracker   |    98 |  30 215 |   1 268 |  1 273 |   5.0% |
| Cheetah News   |   102 |  22 861 |   4 930 |  4 916 |   3.8% |
| On This Day    |    57 |  20 622 |   1 030 |    940 |   3.4% |
| cbot           |   118 |  20 402 |   1 720 |  1 033 |   3.4% |
| dproxy         |   128 |  18 865 |   1 727 |  1 987 |   3.1% |
| Anubis         |    93 |  18 647 |   2 441 |  3 432 |   3.1% |
| YACT           |    67 |  12 757 |     887 |    872 |   2.1% |
| wcomp          |    49 |   7 905 |     925 |  1 465 |   1.3% |
| clocwork       |    54 |   7 898 |   1 094 |  1 396 |   1.3% |
| WebXiangpianpu |    61 |   4 965 |     639 |    940 |   0.8% |
| Daily Echoes   |    31 |   4 838 |     533 |    352 |   0.8% |
| vcstreak       |     2 |     323 |      17 |     70 |   0.1% |
| TOTAL          | 4 253 | 600 340 |  45 991 | 69 256 | 100.0% |
+----------------+-------+---------+---------+--------+--------+

By language
===========

+------------------------+-------+---------+---------+--------+--------+
| Language               | Files |    Code | Comment |  Blank |  Share |
+------------------------+-------+---------+---------+--------+--------+
| TypeScript             | 1 193 | 179 108 |  22 882 | 24 559 |  29.8% |
| YAML                   | 1 403 |  94 985 |     415 | 10 452 |  15.8% |
| JSON                   |   191 |  85 397 |       0 |      9 |  14.2% |
| Go                     |   181 |  55 662 |   3 352 |  3 478 |   9.3% |
| JavaScript             |   134 |  32 114 |   2 138 |  3 121 |   5.3% |
| Python                 |   285 |  30 854 |   4 990 |  6 518 |   5.1% |
| C#                     |   105 |  18 480 |     438 |  2 116 |   3.1% |
| Markdown               |   129 |  17 441 |      10 |  4 859 |   2.9% |
| C                      |    68 |  17 383 |   1 709 |  3 251 |   2.9% |
| SCSS                   |    24 |  11 969 |     206 |    723 |   2.0% |
| CSS                    |    29 |   9 385 |     840 |  1 363 |   1.6% |
| Vuejs Component        |    46 |   7 705 |   1 334 |    944 |   1.3% |
| PO File                |     8 |   6 553 |   3 345 |  3 103 |   1.1% |
| PHP                    |    47 |   5 459 |   1 053 |    973 |   0.9% |
| yacc                   |     6 |   3 593 |     144 |    458 |   0.6% |
| HTML                   |    48 |   3 348 |       1 |    226 |   0.6% |
| Astro                  |    26 |   3 123 |     346 |    304 |   0.5% |
| Bourne Shell           |    59 |   2 944 |     715 |    505 |   0.5% |
| SVG                    |    43 |   1 984 |      64 |     39 |   0.3% |
| C/C++ Header           |    24 |   1 850 |     488 |    489 |   0.3% |
| XSLT                   |     3 |   1 306 |      42 |     60 |   0.2% |
| lex                    |     7 |   1 012 |     122 |    196 |   0.2% |
| TOML                   |    35 |     954 |     339 |    245 |   0.2% |
| Godot Scene            |    24 |     906 |       0 |    219 |   0.2% |
| m4                     |     6 |     888 |     211 |    103 |   0.1% |
| EJS                    |     3 |     817 |       0 |     78 |   0.1% |
| XML                    |    25 |     655 |       0 |      6 |   0.1% |
| make                   |    20 |     650 |     342 |    203 |   0.1% |
| Dockerfile             |    21 |     603 |      38 |    146 |   0.1% |
| SQL                    |    13 |     587 |      88 |     35 |   0.1% |
| Scheme                 |     6 |     581 |     196 |     94 |   0.1% |
| Text                   |    10 |     560 |       0 |    110 |   0.1% |
| Lisp                   |     1 |     459 |      48 |     67 |   0.1% |
| GDScript               |     2 |     309 |       2 |     71 |   0.1% |
| INI                    |    16 |     222 |       0 |     47 |   0.0% |
| PlantUML               |     3 |     192 |       0 |     29 |   0.0% |
| Perl                   |     1 |     121 |      76 |     44 |   0.0% |
| awk                    |     1 |      63 |      16 |     13 |   0.0% |
| MSBuild script         |     4 |      61 |       0 |      0 |   0.0% |
| Visual Studio Solution |     1 |      43 |       1 |      0 |   0.0% |
| sed                    |     1 |      11 |       0 |      0 |   0.0% |
| Windows Resource File  |     1 |       3 |       0 |      0 |   0.0% |
| TOTAL                  | 4 253 | 600 340 |  45 991 | 69 256 | 100.0% |
+------------------------+-------+---------+---------+--------+--------+
